0-NOMOD,0-MINOR[63],0-MAJOR[63]
4403,4411,84
4403,4416,87
4411,4439,92
4411,4444,92
4439,4462,92
4439,4467,92
4439,4467,97
4444,4467,97
4447,4472,97
4452,4475,97
4457,4485,97
4472,4485,97
4472,4490,97
4477,4495,97
4480,4495,97
4485,4498,97
4490,4500,97
4503,4500,97
4503,4503,102
4503,4503,102
4503,4513,102
4508,4513,102
4508,4513,102
4508,4518,102
4508,4518,102
4508,4518,102
4516,4521,102
4518,4521,102
4521,4521,102
4521,4521,102
4521,4521,102
4526,4521,102
4526,4523,102
4531,4526,102
4531,4531,102
4531,4531,105
4531,4531,105
4536,4531,105
4536,4536,105
4536,4536,105
4536,4539,105
4536,4541,105
4536,4541,105
4536,4544,105
4536,4544,105
4536,4544,105
4536,4546,105
4544,4546,105
4544,4549,105
4544,4549,105
4546,4549,105
4546,4554,107
4549,4554,107
4549,4554,107
4554,4554,107
4554,4559,107
4554,4559,107
4554,4559,107
4554,4559,107
4554,4559,107
4554,4559,107
4559,4562,110
4559,4562,110
4559,4564,110
4559,4564,110
4559,4564,110
4559,4567,110
4562,4567,110
4564,4567,110
4564,4569,110
4567,4569,110
4567,4572,110
4567,4572,110
4569,4572,110
4569,4572,110
4569,4572,110
4569,4577,110
4572,4577,110
4572,4577,110
4572,4577,110
4572,4582,110
4572,4582,110
4577,4582,115
4577,4582,115
4582,4582,115
4582,4585,115
4582,4585,115
4582,4587,115
4582,4587,115
4585,4587,115
4585,4587,115
4585,4587,115
4587,4590,115
4587,4592,115
4590,4592,115
4590,4595,115
4590,4595,115
4590,4595,115
4590,4595,115
4590,4595,115
4590,4600,115
4592,4600,115
4595,4600,115
4595,4600,115
4595,4600,115
4595,4605,115
4595,4605,115
4595,4605,115
4595,4605,115
4595,4605,115
4600,4610,115
4600,4610,115
4600,4610,115
4600,4610,115
4600,4610,115
4600,4610,115
4600,4610,115
4600,4613,115
4600,4613,115
4600,4613,115
4600,4613,115
4605,4613,115
4605,4613,115
4605,4613,115
4605,4615,115
4605,4615,115
4608,4618,115
4610,4618,115
4610,4618,115
4610,4618,115
4610,4618,115
4610,4618,115
4610,4618,115
4610,4623,115
4613,4623,115
4613,4623,115
4613,4623,115
4613,4623,115
4613,4628,115
4618,4628,115
4618,4628,115
4618,4628,115
4618,4628,120
4618,4628,120
4618,4628,120
4618,4628,120
4618,4628,120
4618,4631,120
4618,4631,120
4618,4633,120
4623,4633,120
4623,4633,120
4623,4636,120
4623,4636,120
4623,4636,120
4623,4638,120
4623,4641,120
4623,4641,120
4623,4641,120
4623,4641,120
4628,4641,120
4628,4641,120
4628,4646,120
4628,4646,120
4628,4646,120
4631,4646,120
4631,4646,120
4633,4646,120
4633,4646,120
4633,4646,120
4633,4646,120
4636,4646,120
4636,4651,120
4636,4651,120
4636,4651,120
4636,4651,120
4636,4651,120
4638,4651,120
4638,4651,120
4641,4654,120
4641,4654,120
4641,4654,120
4641,4654,120
4641,4656,120
4641,4656,120
4641,4656,120
4641,4656,120
4641,4656,120
4641,4659,120
4641,4659,120
4641,4659,120
4641,4659,120
4646,4659,120
4646,4661,120
4646,4661,120
4646,4661,123
4646,4661,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4646,4664,123
4651,4664,123
4651,4664,123
4651,4664,123
4651,4664,123
4651,4664,123
4651,4664,123
4651,4669,123
4651,4669,123
4651,4669,123
4654,4669,123
4654,4669,125
4654,4669,125
4656,4669,125
4656,4669,125
4656,4669,125
4659,4669,125
4659,4669,125
4659,4669,125
4659,4674,125
4659,4674,125
4659,4674,125
4659,4674,125
4659,4674,125
4661,4674,125
4661,4677,125
4661,4677,125
4661,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4679,125
4664,4682,125
4664,4682,125
4664,4682,125
4664,4682,125
4669,4684,125
4669,4684,125
4669,4684,125
4669,4684,125
4669,4687,125
4669,4687,125
4669,4687,125
4674,4687,125
4674,4687,125
4674,4687,125
4674,4687,125
4674,4687,125
4674,4687,125
4677,4692,128
4677,4692,128
4677,4692,128
4677,4692,128
4679,4692,128
4682,4692,128
4682,4692,128
4682,4692,128
4682,4697,128
4682,4697,128
4682,4697,128
4682,4697,128
4682,4697,128
4684,4697,128
4684,4697,128
4684,4697,128
4687,4697,128
4687,4697,128
4687,4700,128
4687,4700,128
4687,4700,128
4687,4702,128
4687,4702,128
4687,4702,128
4687,4702,128
4687,4702,128
4687,4702,128
4687,4705,128
4692,4705,128
4692,4705,128
4692,4707,128
4692,4707,128
4692,4707,128
4692,4707,128
4692,4710,128
4692,4710,128
4692,4710,128
4692,4710,128
4692,4710,130
4692,4710,130
4692,4710,130
4692,4710,130
4692,4710,130
4697,4710,130
4697,4715,130
4697,4715,130
4697,4715,130
4697,4715,130
4702,4715,130
4702,4715,130
4702,4715,130
4702,4715,130
4702,4715,130
4702,4715,133
4702,4715,133
4702,4715,133
4702,4715,133
4705,4715,133
4705,4715,133
4705,4715,133
4707,4715,133
4707,4715,133
4707,4715,133
4707,4715,133
4707,4720,133
4710,4720,133
4710,4720,133
4710,4720,133
4710,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4720,133
4715,4723,133
4715,4723,133
4715,4725,133
4720,4725,133
4720,4725,133
4720,4725,133
4720,4725,133
4720,4725,133
4720,4728,133
4720,4728,133
4720,4728,133
4720,4728,133
4720,4728,133
4723,4728,133
4725,4728,133
4725,4730,133
4725,4730,133
4728,4730,133
4728,4730,133
4728,4733,133
4728,4733,133
4728,4733,133
4728,4733,133
4728,4733,133
4728,4738,133
4728,4738,133
4728,4738,133
4730,4738,133
4730,4738,133
4733,4738,138
4733,4738,138
4733,4738,138
4733,4738,138
4733,4738,138
4733,4738,138
4733,4743,138
4733,4743,138
4733,4743,138
4738,4746,138
4738,4746,138
4738,4748,138
4738,4748,138
4738,4748,138
4738,4748,138
4738,4748,138
4738,4748,138
4738,4751,138
4738,4751,138
4738,4751,138
4738,4751,138
4738,4751,138
4738,4751,138
4738,4751,138
4743,4751,138
4743,4751,138
4743,4753,138
4743,4753,138
4743,4753,138
4743,4753,138
4743,4756,138
4746,4756,138
4746,4756,138
4748,4756,138
4748,4756,138
4748,4761,138
4748,4761,138
4748,4761,138
4751,4761,138
4751,4761,138
4751,4761,138
4751,4761,138
4751,4761,138
4751,4761,138
4753,4761,138
4753,4766,138
4756,4766,138
4756,4766,138
4756,4766,138
4756,4766,138
4756,4766,138
4756,4766,138
4761,4766,138
4761,4766,138
4761,4766,138
4761,4766,138
4761,4766,138
4761,4769,138
4761,4769,138
4761,4769,138
4766,4769,138
4766,4769,138
4766,4769,138
4766,4771,138
4766,4774,138
4766,4774,138
4769,4774,138
4771,4774,138
4771,4776,138
4771,4776,143
4771,4776,143
4771,4776,143
4771,4779,143
4771,4779,143
4774,4779,143
4774,4779,143
4774,4779,143
4774,4779,143
4774,4779,143
4774,4779,143
4774,4784,143
4774,4784,143
4776,4784,143
4776,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4779,4784,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4784,4789,143
4789,4789,143
4789,4794,143
4789,4794,143
4789,4794,143
4789,4794,143
4789,4794,143
4789,4797,143
4792,4797,143
4792,4799,143
4792,4799,143
4794,4799,143
4794,4799,143
4794,4799,143
4794,4799,143
4794,4802,143
4794,4802,143
4794,4802,143
4794,4802,143
4794,4802,143
4797,4807,143
4797,4807,146
4797,4807,146
4797,4807,146
4797,4807,146
4799,4807,146
4799,4807,146
4799,4807,146
4799,4807,146
4799,4807,146
4799,4807,146
4802,4807,146
4802,4807,148
4802,4812,148
4802,4812,148
4802,4812,148
4802,4812,148
4802,4812,148
4802,4812,148
4802,4812,148
4807,4812,148
4807,4815,148
4807,4815,148
4807,4817,148
4807,4817,148
4807,4817,148
4807,4817,148
4807,4817,148
4807,4820,148
4807,4820,148
4807,4820,148
4807,4820,148
4807,4822,148
4807,4822,148
4812,4825,148
4812,4825,148
4812,4825,148
4812,4825,148
4812,4825,148
4812,4825,151
4812,4825,151
4815,4830,151
4817,4830,151
4817,4830,151
4817,4830,151
4820,4830,151
4820,4830,151
4820,4830,151
4820,4830,151
4820,4835,151
4820,4835,151
4820,4835,151
4820,4835,151
4822,4835,151
4822,4835,151
4822,4838,151
4825,4838,151
4825,4838,151
4825,4840,151
4825,4840,151
4825,4840,151
4825,4840,151
4830,4840,151
4830,4840,151
4830,4840,151
4830,4843,151
4830,4843,151
4830,4843,151
4830,4845,151
4830,4845,151
4830,4845,151
4835,4848,151
4835,4848,151
4835,4848,151
4835,4848,151
4835,4848,153
4835,4848,153
4835,4848,153
4835,4848,153
4835,4848,153
4835,4848,153
4838,4848,153
4838,4848,153
4840,4848,153
4840,4853,153
4840,4853,153
4840,4853,153
4843,4853,153
4843,4853,153
4845,4853,153
4848,4858,153
4848,4858,156
4848,4858,156
4848,4858,156
4848,4858,156
4848,4858,156
4848,4858,156
4848,4858,156
4848,4858,156
4853,4861,156
4853,4861,156
4853,4863,156
4853,4863,156
4853,4863,156
4853,4863,156
4853,4863,156
4853,4863,156
