0-NOMOD,0-MINOR[63],0-MAJOR[63]
14128113,14128218,14124144
14128356,14128422,14124272
14129112,14128491,14125649
14129503,14129094,14125777
14131734,14130620,14126117
14132212,14131034,14126247
14132749,14131177,14127530
14133022,14131903,14127548
14133163,14132478,14127911
14133661,14132751,14128210
14133988,14133822,14128417
14134788,14133868,14128468
14135289,14134793,14128524
14135777,14135115,14128918
14136252,14135128,14129375
14136255,14135514,14129664
14136265,14135795,14129779
14136646,14135823,14129838
14136932,14135877,14129843
14137254,14136748,14130032
14137967,14136922,14130546
14138320,14137226,14130602
14138399,14137264,14130630
14138514,14137640,14130630
14138568,14137860,14131292
14138675,14138184,14131430
14138823,14138923,14131550
14139411,14139135,14131783
14139498,14139687,14131839
14139950,14140124,14132005
14140438,14140170,14132207
14140952,14140962,14132258
14140957,14141085,14132304
14141665,14141407,14132452
14142424,14141642,14132557
14143602,14141744,14133055
14143822,14141795,14133081
14144241,14142281,14133216
14144834,14142521,14133326
14145133,14143812,14133510
14145677,14144374,14133551
14145700,14144642,14133671
14145718,14144691,14133684
14145938,14144867,14133743
14146224,14144890,14133919
14146296,14144949,14133947
14146592,14144959,14134103
14146615,14144967,14134346
14146666,14145253,14134479
14146674,14145542,14134627
14146799,14146104,14134972
14146804,14146265,14135151
14146840,14146280,14135491
14146932,14146293,14135716
14146978,14146334,14135928
14147190,14146370,14136137
14147190,14146380,14136163
14147218,14146482,14136347
14147231,14146536,14136751
14147262,14146605,14136950
14147272,14146702,14137047
14147392,14146712,14137484
14147451,14146748,14137842
14147451,14146802,14137847
14147453,14146840,14138345
14147476,14146873,14138652
14147645,14146876,14138997
14147663,14146973,14139255
14147796,14146978,14139495
14147847,14147139,14139884
14147898,14147167,14140612
14147944,14147167,14140630
14147972,14147177,14140860
14147975,14147185,14141131
14148021,14147236,14141159
14148023,14147277,14141172
14148026,14147287,14141481
14148082,14147308,14141757
14148090,14147338,14141913
14148136,14147356,14141964
14148197,14147415,14142189
14148248,14147415,14142194
14148253,14147471,14142608
14148261,14147502,14142736
14148266,14147507,14142769
14148274,14147540,14142866
14148376,14147558,14143206
14148396,14147568,14143270
14148417,14147604,14143390
14148565,14147622,14143474
14148575,14147635,14143477
14148601,14147658,14143492
14148603,14147668,14143505
14148611,14147683,14143528
14148634,14147704,14143533
14148685,14147714,14143597
14148749,14147714,14143671
14148800,14147783,14143753
14148826,14147788,14143758
14148828,14147806,14143771
14148836,14147806,14143791
14148869,14147824,14143896
14148910,14147847,14143932
14148928,14147875,14143932
14148938,14147898,14144088
14148956,14147903,14144098
14148969,14147903,14144131
14148974,14147931,14144149
14149007,14147931,14144154
14149007,14147995,14144159
14149020,14148013,14144172
14149025,14148105,14144182
14149025,14148136,14144287
14149035,14148151,14144305
14149043,14148174,14144323
14149043,14148220,14144343
14149063,14148253,14144389
14149094,14148256,14144397
14149117,14148261,14144448
14149132,14148294,14144476
14149140,14148294,14144494
14149140,14148312,14144517
14149150,14148327,14144530
14149163,14148358,14144609
14149163,14148363,14144609
14149171,14148381,14144632
14149173,14148391,14144660
14149186,14148442,14144668
14149191,14148458,14144678
14149196,14148501,14144678
14149217,14148506,14144696
14149219,14148542,14144719
14149222,14148547,14144742
14149224,14148560,14144760
14149227,14148593,14144770
14149240,14148606,14144778
14149242,14148611,14144885
14149247,14148624,14144918
14149247,14148634,14144926
14149288,14148644,14144939
14149288,14148647,14144959
14149311,14148652,14144972
14149324,14148670,14145000
14149347,14148680,14145023
14149352,14148680,14145036
14149370,14148708,14145051
14149385,14148726,14145069
14149393,14148731,14145084
14149393,14148772,14145092
14149398,14148777,14145092
14149411,14148795,14145161
