0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12626591,12622298,12622860,12626410,12625965,12625983,12624143,12628145,12621682,12622318,12628040,12622019,12621066,12625901,12627424,12628830,12622119,12627230,12623103,12622791,12619824,12627818,12625978,12627511,12627291,12623394,12621173,12626476,12626688,12622413,12621771,12625891,12621710,12628007,12626895,12622116,12627084,12625837,12620092,12620348
12629236,12623627,12623228,12628002,12628610,12628357,12625053,12628574,12624064,12622561,12628058,12622032,12622009,12627567,12627667,12629103,12622405,12628237,12623928,12623517,12623141,12628219,12627483,12627810,12627322,12623453,12621457,12626900,12627309,12622712,12622446,12626711,12622556,12629341,12628132,12623504,12627524,12626075,12620652,12620680
12629957,12623642,12623992,12628702,12628812,12628633,12625109,12628807,12624089,12623259,12629645,12622198,12623113,12627603,12628633,12629775,12623218,12629042,12624370,12624102,12623366,12628398,12627828,12627902,12627721,12623601,12622326,12627391,12627652,12623016,12623450,12626977,12623246,12629497,12628344,12624966,12627723,12627179,12621301,12621186
12630021,12623826,12624470,12628858,12628835,12628643,12625408,12628955,12624135,12624130,12629655,12622418,12623381,12627782,12629530,12630212,12623780,12629305,12624848,12624179,12623471,12628605,12628191,12628868,12628168,12623634,12623034,12628204,12627662,12623090,12623900,12627879,12623601,12629875,12628587,12625878,12627764,12627189,12622129,12621296
12631748,12623951,12624529,12629052,12629075,12628661,12625467,12630248,12624263,12624166,12629791,12622464,12623974,12628436,12629632,12630299,12625285,12629387,12625211,12624181,12623491,12629880,12629773,12629106,12628462,12623808,12624314,12628643,12627874,12623090,12624572,12628155,12624084,12629949,12629292,12626476,12628114,12627593,12622546,12622137
12632101,12624171,12624828,12629451,12629088,12628812,12626208,12630271,12624347,12624409,12630003,12622888,12624516,12628909,12629737,12630496,12625625,12629589,12626402,12624659,12623716,12629949,12629775,12629218,12628572,12624516,12624777,12629070,12628071,12623108,12625206,12628554,12624163,12631871,12629612,12626489,12628191,12628656,12622548,12622980
12632175,12624562,12625045,12629729,12629098,12628896,12626650,12630417,12624391,12624784,12630026,12622980,12624833,12629106,12630243,12630685,12625814,12629801,12626908,12625219,12623890,12630243,12631125,12629379,12628789,12625032,12625045,12629154,12628250,12623412,12625932,12628579,12624465,12632198,12630675,12626778,12628776,12628661,12622921,12623049
12632451,12624580,12625050,12629949,12629218,12628965,12627010,12630956,12624677,12624823,12630044,12623054,12625114,12629177,12630358,12630920,12626254,12630092,12630230,12626241,12624276,12630404,12632998,12629599,12628827,12625183,12625477,12629425,12628587,12623468,12626134,12628610,12625313,12634907,12634820,12626862,12629223,12628771,12623568,12623430
12632980,12624759,12625970,12630133,12629305,12629239,12627414,12631163,12624861,12625045,12630667,12623151,12625541,12629203,12630624,12631053,12626660,12630141,12630299,12626826,12624547,12630409,12635617,12629921,12629185,12625390,12625743,12629801,12628748,12623627,12626683,12628970,12625804,12635454,12635689,12628674,12629310,12629126,12623652,12623448
12633021,12624805,12625983,12630335,12629627,12629249,12627792,12631388,12625344,12625326,12630869,12623867,12625735,12629208,12630805,12631738,12627501,12630225,12630685,12629198,12624603,12630445,12635891,12629962,12630312,12625592,12625766,12630404,12628840,12623795,12627115,12629001,12626977,12635625,12635819,12630864,12629361,12629134,12623721,12623678
12633118,12625017,12626057,12630463,12630437,12629333,12628168,12631498,12625408,12626678,12632004,12624406,12626034,12629351,12630892,12632285,12627708,12630284,12631081,12630404,12624644,12635914,12635911,12630021,12630427,12626724,12625919,12630606,12629185,12623816,12628229,12629001,12627054,12635640,12635868,12631150,12629640,12629310,12623936,12624107
12633192,12625104,12626315,12631043,12630823,12629369,12630437,12632392,12626016,12626936,12632083,12624411,12626236,12629801,12631089,12632336,12628104,12630399,12631153,12631429,12624690,12635998,12636011,12630744,12630593,12626762,12626379,12631825,12629305,12624166,12629553,12629121,12627248,12635778,12635870,12631406,12629885,12629313,12624350,12624327
12633522,12625421,12626394,12632042,12631117,12629479,12630979,12632505,12626016,12628500,12632566,12624478,12626279,12629875,12631357,12633238,12628204,12630601,12631186,12631562,12624917,12636346,12636049,12630928,12630703,12626798,12626913,12631973,12629420,12624199,12630603,12629177,12627483,12636356,12635980,12631774,12630105,12630087,12624396,12624350
