0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14122828,14123076,14120178,14135105,14121793,14119429,14125790,14125698,14123104,14135810,14132253,14128320,14124755,14134604,14133970,14134287,14143712,14126536,14128749,14142751,14129327,14123646,14143569
14128550,14124032,14121093,14135138,14123656,14122207,14127630,14127037,14123109,14136132,14133329,14128729,14128931,14137819,14135501,14142212,14143786,14131054,14131366,14143027,14130377,14126314,14144259
14132350,14124819,14121545,14135560,14123661,14123707,14128941,14127952,14123150,14136311,14133638,14130878,14132557,14142618,14136025,14143919,14144246,14131553,14132608,14143234,14132598,14131356,14144714
14132736,14125345,14122151,14135639,14124451,14125813,14130487,14128021,14128072,14137934,14139485,14131274,14135537,14142705,14137280,14144149,14144264,14134410,14137681,14143354,14132976,14131448,14144862
14132746,14126086,14122409,14135703,14124949,14126462,14131568,14130413,14128192,14138619,14139817,14132000,14135652,14143017,14142248,14144187,14144425,14134494,14138596,14143431,14133122,14131673,14144982
14132994,14126577,14123411,14135818,14127055,14126498,14132337,14134489,14128813,14139168,14140027,14132105,14135680,14143390,14143178,14144614,14144517,14134550,14139079,14143579,14133955,14131844,14145069
14133224,14127142,14126076,14135879,14128969,14127704,14132511,14135261,14129769,14142792,14140091,14134520,14135718,14143405,14143265,14144714,14144673,14134985,14139421,14143615,14137065,14132051,14145146
14133418,14130055,14128923,14135887,14129853,14130032,14134052,14135271,14129966,14142902,14140180,14135220,14136053,14143482,14143505,14144732,14144688,14135276,14139457,14143630,14137553,14132087,14145176
14133495,14130288,14129227,14135956,14130193,14130147,14134701,14135281,14130050,14144185,14140423,14136756,14136071,14143633,14143960,14144770,14144732,14135332,14139651,14143814,14139894,14132263,14145230
14133932,14130845,14129480,14135961,14130541,14131407,14135299,14135445,14130224,14144295,14140523,14137921,14136071,14144320,14144149,14144788,14144824,14135401,14139848,14143950,14139930,14132401,14145253
14133960,14130850,14129927,14135999,14130602,14131486,14135350,14135493,14130459,14144315,14140630,14138997,14136071,14144333,14144241,14144862,14144923,14135473,14140009,14144126,14139935,14132429,14145442
14134029,14130929,14130106,14136030,14130832,14131509,14135616,14135501,14130579,14144318,14140699,14139871,14136260,14144356,14144461,14144890,14144995,14135496,14140045,14144182,14140418,14132506,14145613
14134067,14130937,14131003,14136089,14130883,14131522,14135667,14135611,14130681,14144415,14140735,14139904,14136334,14144448,14144504,14144903,14145105,14135552,14140124,14144213,14140469,14132565,14145703
