0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14138473,14137847,14133610,14139784,14139311,14140367,14135378,14126996,14140454,14129460,14142184,14141780,14132125,14133983,14138874,14141491,14138223,14141637,14133196,14135087,14129820
14138629,14138110,14136812,14140152,14139452,14144090,14137857,14128417,14142143,14133073,14142253,14143661,14132475,14134806,14139664,14141762,14138330,14142787,14134959,14135749,14132184
14139659,14138312,14137502,14141903,14141611,14145284,14139774,14129996,14144757,14134162,14142851,14144049,14132483,14137047,14140132,14143970,14139025,14143362,14135271,14135764,14132682
14140019,14138974,14137750,14142815,14141788,14148138,14140285,14132861,14144849,14141187,14143850,14144834,14137420,14137080,14140226,14144775,14139127,14144596,14135588,14138588,14133265
14141987,14139265,14138008,14143418,14142434,14148358,14141711,14132930,14146012,14141476,14144351,14147377,14139490,14137911,14140919,14144946,14139222,14145772,14135854,14138859,14133477
14142161,14139741,14138363,14144052,14142434,14149457,14142120,14133533,14149679,14142396,14144936,14147934,14139886,14140001,14141136,14145442,14139396,14146669,14137152,14139342,14133965
14142419,14139756,14140385,14145074,14142761,14150313,14143428,14136007,14152258,14142894,14145741,14148197,14140492,14140257,14141154,14145483,14139756,14150750,14138542,14139587,14134351
14142534,14140515,14140510,14146730,14143076,14151417,14143702,14136347,14153625,14143408,14145892,14150037,14141711,14141080,14141494,14145979,14140533,14151049,14138693,14139945,14134862
14142575,14141108,14140648,14147645,14143689,14151637,14144402,14137870,14155920,14143748,14146352,14150170,14142217,14141969,14141627,14146830,14141908,14151808,14139342,14140584,14135491
14142943,14141131,14142056,14148432,14143868,14152488,14144594,14138532,14156697,14143919,14146991,14150226,14142805,14142166,14142225,14146899,14142071,14152999,14139815,14142874,14135693
