NOMOD,MINOR,MAJOR
22517278,22516635,22512233
22517544,22516950,22512489
22517588,22520346,22513555
22518312,22520445,22513707
22518652,22521178,22513713
22519000,22521237,22514065
22519084,22521237,22514079
22519417,22521443,22514591
22520156,22521737,22515181
22520754,22521788,22515214
22520826,22521812,22515268
22521034,22522464,22515345
22521169,22522541,22515524
22521195,22522720,22515527
22521359,22522759,22515607
22521872,22522768,22515622
22521931,22522911,22515622
22522217,22522992,22516128
22522330,22523012,22516141
22522413,22523245,22516143
22522512,22523733,22516170
22522515,22523927,22516277
22522625,22523936,22516483
22522673,22524005,22516617
22522846,22524031,22516680
22522866,22524064,22516704
22522896,22524093,22516712
22522959,22524186,22516817
22522970,22524257,22517019
22523063,22524260,22517019
22523078,22524341,22517082
22523102,22524352,22517263
22523104,22524424,22517415
22523132,22524448,22517475
22523239,22524463,22517537
22523280,22524493,22517573
22523287,22524517,22517603
22523370,22524532,22517609
22523396,22524534,22517639
22523402,22524588,22517668
22523417,22524687,22517775
22523424,22524758,22517862
22523596,22524776,22518133
22523739,22524838,22518198
22523754,22524847,22518243
22523835,22524937,22518256
22523840,22525020,22518267
22523858,22525252,22518336
22523861,22525276,22518356
22523965,22525303,22518359
22524034,22525309,22518377
22524091,22525321,22518440
22524141,22525330,22518443
22524162,22525351,22518458
22524174,22525437,22518518
22524210,22525512,22518601
22524457,22525639,22518696
22524460,22525720,22518720
22524570,22525744,22518735
22524597,22525762,22518803
22524746,22525792,22518816
22524761,22525839,22518836
22524773,22525848,22518839
22524898,22526039,22518857
22524927,22526042,22518910
22524937,22526048,22518914
22524940,22526071,22518949
22524975,22526155,22518950
22525026,22526178,22518994
22525065,22526194,22519081
22525097,22526208,22519131
22525103,22526217,22519149
22525145,22526232,22519208
22525288,22526233,22519221
22525294,22526289,22519265
22525360,22526336,22519265
22525362,22526372,22519286
22525372,22526417,22519286
22525434,22526444,22519316
22525488,22526462,22519527
22525488,22526545,22519581
22525490,22526557,22519613
22525562,22526587,22519650
22525577,22526652,22519650
22525589,22526655,22519656
22525598,22526661,22519697
22525663,22526682,22519738
22525735,22526715,22519747
22525789,22526789,22519816
22525851,22526822,22519837
22525884,22526852,22519843
22525890,22526903,22519849
22525959,22526965,22519876
22525970,22526980,22519920
22525988,22526983,22520007
22525991,22527001,22520073
22525997,22527010,22520075
22526009,22527016,22520123
22526155,22527076,22520227
22526158,22527081,22520248
22526170,22527123,22520248
22526194,22527206,22520251
22526235,22527212,22520254
22526259,22527304,22520263
22526274,22527347,22520293
22526298,22527385,22520311
22526411,22527385,22520329
22526450,22527388,22520388
22526456,22527415,22520397
22526476,22527421,22520403
22526477,22527445,22520415
22526515,22527510,22520415
22526519,22527555,22520424
22526536,22527602,22520430
22526551,22527629,22520474
22526557,22527638,22520475
22526557,22527638,22520486
22526563,22527644,22520558
22526637,22527647,22520564
22526644,22527656,22520593
22526688,22527674,22520600
22526697,22527698,22520608
22526700,22527728,22520695
22526754,22527761,22520716
22526781,22527802,22520764
22526789,22527811,22520793
22526798,22527832,22520802
22526807,22527832,22520808
22526807,22527838,22520808
22526814,22527871,22520823
22526822,22527897,22520864
22526873,22527927,22520909
22526896,22527930,22520942
22526911,22527936,22520957
22526929,22527936,22520972
22526935,22527945,22520987
